Provinsi,Komoditas,Tahun,Luas Panen,Produksi
KEP. BANGKA BELITUNG,Jagung,2006,990.0,2956.0
KEP. BANGKA BELITUNG,Jagung,2007,904.0,2736.0
KEP. BANGKA BELITUNG,Jagung,2008,393.0,1193.0
KEP. BANGKA BELITUNG,Jagung,2009,458.0,1403.0
KEP. BANGKA BELITUNG,Jagung,2010,341.0,1055.0
KEP. BANGKA BELITUNG,Jagung,2011,277.0,850.0
KEP. BANGKA BELITUNG,Jagung,2012,268.0,967.0
KEP. BANGKA BELITUNG,Jagung,2013,234.0,783.0
KEP. BANGKA BELITUNG,Jagung,2014,214.0,721.0
KEP. BANGKA BELITUNG,Jagung,2015,181.0,666.0
KEP. BANGKA BELITUNG,Jagung,2020,28.73,126.66
KEP. BANGKA BELITUNG,Jagung,2021,97.31,348.85
KEP. BANGKA BELITUNG,Jagung,2022,62.8,257.95
KEP. BANGKA BELITUNG,Jagung,2023,29.8,142.32
KEP. RIAU,Jagung,1993,0.0,0.0
KEP. RIAU,Jagung,1994,0.0,0.0
KEP. RIAU,Jagung,1995,0.0,0.0
KEP. RIAU,Jagung,1996,0.0,0.0
KEP. RIAU,Jagung,1997,0.0,0.0
KEP. RIAU,Jagung,1998,0.0,0.0
KEP. RIAU,Jagung,1999,0.0,0.0
KEP. RIAU,Jagung,2000,0.0,0.0
KEP. RIAU,Jagung,2001,0.0,0.0
KEP. RIAU,Jagung,2002,0.0,0.0
KEP. RIAU,Jagung,2003,0.0,0.0
KEP. RIAU,Jagung,2004,0.0,0.0
KEP. RIAU,Jagung,2005,290.0,584.0
